,amount,commission,dt,order_id,price,sid,symbol,txn_dollars
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,4236724679c14cd992f197a8252f4870,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,04faa6835c1d4515a6a1d20f4e3d03d1,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,071d7eef35354521a60d31e79f2e6ca2,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,ac94c0c700cf4905bc218389e771d7d3,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,49b3426227a742ee933341eb917ac380,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,5579f6f7d03d45a589e2d6c4c39f4932,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,622b529798bc41de9b78461fee2ec22e,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,792da883407b4c05aee8fcbd1a5fc882,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,6464e44a0ea1423bac80d0abfc2285b8,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,ee45e8d1575f4fe18358ef640bd612c8,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,48453598e2d4437d9ba9fbe8fc29e2ed,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,ec9803eb0490437ea24e50310da77827,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,e15e8dc4e39b47e08c7e9a2d25e75e50,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,2e626bbfdc8943ffadf090848ed22313,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-03-09 07:00:00+00:00,62539,,2016-03-09 07:00:00+00:00,853b498feff2427485c6a47b991101e2,28.78,广誉远(600771),广誉远(600771),-1799872.4200000002
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,d4dca98eb6134836b13e56a6f519139d,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,4add877bdcea46e69121942252e83220,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,6859ae4a07444ebea4356ac2f75f6ec8,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,986791b7fc854d26b68b2014818a7e6b,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,f4ce43d500a747d8902e5da936584485,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,4cfc3b2a75d14e46aa2d72079604a58b,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,00bd17fe03d9471bb34444393ba29b78,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,9d6e23602264433ca4ba001b0ed510f0,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,165aec77bcb44a8f9587d1fa0796486a,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,db422d81d18b46b6a2bb0ffcfe9509b7,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,aaa90c27ab0e411eb95645d069c15bf1,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,4d66e5fd79334fb78dd27dbc78521ab3,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,fb362467fef444b783e30ccab0aa9ccd,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,ce897628fdbd43e79f3147f569247f6f,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,b0632db7ee394382bd440afa5b6dc552,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,c5b74ff87c264236ae57ec24035c6e1e,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,de0436e04110414dbbddb47901717e99,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,80d4f4e8dcb24c6ab166f14109ed2bef,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,da0bc89f89b0475da2baea55f5287b17,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,bdfdc35bd1334504820fb8196b252670,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
2016-07-04 07:00:00+00:00,81866,,2016-07-04 07:00:00+00:00,cf2c6ecd0a05425b94806448baabb807,21.990000000000002,万 科Ａ(000002),万 科Ａ(000002),-1800233.34
